Source,Target,Type,Id,Label,Weight
51,45,Directed,264,,5
51,5,Directed,265,,41
51,17.5,Directed,266,,47
51,19.5,Directed,267,,10
51,18.5,Directed,268,,48
51,13.18450704,Directed,269,,5
55,57,Directed,270,,3
55,6,Directed,271,,19
55,8.75,Directed,272,,1
55,10.75,Directed,273,,1
55,9.75,Directed,274,,2
55,2.952745098,Directed,275,,1
6,5,Directed,276,,36
6,1,Directed,277,,44
6,7,Directed,278,,40
6,9,Directed,279,,24
6,8,Directed,280,,58
6,31.54119718,Directed,281,,165
5,9,Directed,282,,104
5,1,Directed,283,,31
5,11,Directed,285,,16
5,10,Directed,286,,48
5,31.54119718,Directed,287,,15
27,9,Directed,288,,62
27,10,Directed,290,,8
27,12,Directed,291,,14
27,11,Directed,292,,4
37,5,Directed,294,,11
37,2,Directed,295,,295
37,6,Directed,296,,19
37,8,Directed,297,,19
37,7,Directed,298,,75
37,23.57078313,Directed,299,,215
13,4,Directed,300,,29
13,11,Directed,302,,1
13,13,Directed,303,,58
13,12,Directed,304,,11
28,28,Directed,306,,66
28,3,Directed,307,,109
28,7,Directed,308,,38
28,9,Directed,309,,50
28,8,Directed,310,,33
28,34.95993151,Directed,311,,140
9,55,Directed,312,,1
9,11,Directed,316,,87
9,8.625111111,Directed,317,,9
23,50,Directed,318,,14
23,5,Directed,319,,71
23,6,Directed,320,,151
23,8,Directed,321,,76
23,7,Directed,322,,116
23,5.299152542,Directed,323,,394
35,43,Directed,324,,16
35,5,Directed,325,,86
35,11.5,Directed,326,,37
35,13.5,Directed,327,,58
35,12.5,Directed,328,,20
35,13.21428571,Directed,329,,7
50,29,Directed,330,,3
50,1,Directed,331,,11
50,17,Directed,332,,38
50,19,Directed,333,,13
50,18,Directed,334,,52
50,8.71994382,Directed,335,,2
5,6,Directed,336,,81
5,17,Directed,338,,17
5,19,Directed,339,,31
5,18,Directed,340,,74
6,17,Directed,344,,5
6,19,Directed,345,,4
6,18,Directed,346,,20
6,23.85671642,Directed,347,,2
38,47,Directed,348,,3
38,2,Directed,349,,157
38,20,Directed,350,,2
38,22,Directed,351,,3
38,21,Directed,352,,4
38,60.10397727,Directed,353,,119
4,41,Directed,354,,7
4,3,Directed,355,,305
4,20,Directed,356,,21
4,22,Directed,357,,19
4,21,Directed,358,,15
4,21.17010309,Directed,359,,6
48,28,Directed,360,,4
48,3,Directed,361,,183
48,14,Directed,362,,13
48,16,Directed,363,,10
48,15,Directed,364,,8
48,34.95993151,Directed,365,,1
5,4,Directed,366,,55
5,23.24977518,Directed,371,,3
53,21,Directed,372,,14
53,17,Directed,374,,45
53,18,Directed,376,,75
53,17.53095238,Directed,377,,6
18,16,Directed,378,,30
18,2,Directed,380,,119
18,4,Directed,381,,89
18,91.67068966,Directed,383,,1
24,1,Directed,384,,14
24,2,Directed,385,,69
24,5,Directed,386,,80
24,7,Directed,387,,31
24,6,Directed,388,,204
24,8.671875,Directed,389,,3
52,32,Directed,390,,4
52,2,Directed,391,,241
52,5,Directed,392,,21
52,7,Directed,393,,55
52,6,Directed,394,,32
52,31.98365385,Directed,395,,206
27,5,Directed,398,,14
27,7,Directed,399,,72
27,6,Directed,400,,27
9,13.83333333,Directed,405,,15
9,12.91666667,Directed,406,,4
49,10,Directed,408,,25
49,5.166666667,Directed,410,,6
